City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,crane,31.3974,-102.3501,87.13,9,0,9.78,US,1683336435
1,udachny,66.4167,112.4,32.45,92,100,7.23,RU,1683336436
2,rosslau,51.8833,12.25,54.41,84,100,3.0,DE,1683336437
3,invercargill,-46.4,168.35,62.15,68,0,7.56,NZ,1683336230
4,bethel,41.3712,-73.414,53.94,84,40,3.44,US,1683336438
5,utrik,11.2278,169.8474,80.76,76,100,16.02,MH,1683336438
6,port-aux-francais,-49.35,70.2167,42.78,70,100,26.64,TF,1683336439
7,vorgashor,67.5833,63.95,13.95,97,98,1.32,RU,1683336440
8,barah,13.7,30.3667,82.11,9,14,5.41,SD,1683336440
9,luganville,-15.5333,167.1667,83.8,72,45,6.91,VU,1683336441
10,wailua homesteads,22.0669,-159.378,81.03,69,100,17.27,US,1683336441
11,yellowknife,62.456,-114.3525,57.72,47,75,11.5,CA,1683336296
12,ribeira grande,38.5167,-28.7,63.77,96,100,13.0,PT,1683336442
13,thompson,55.7435,-97.8558,59.16,41,20,5.75,CA,1683336381
14,tiksi,71.6872,128.8694,12.78,82,84,16.02,RU,1683336443
15,manaure,11.7751,-72.4445,82.89,69,4,15.82,CO,1683336444
16,susuman,62.7833,148.1667,31.17,65,28,4.47,RU,1683336445
17,kodiak,57.79,-152.4072,42.31,87,100,8.05,US,1683336445
18,anadyr,64.75,177.4833,27.1,80,100,2.24,RU,1683336446
19,blackmans bay,-43.0167,147.3167,50.74,61,7,4.85,AU,1683336447
20,merizo village,13.2658,144.6691,88.36,80,12,13.94,GU,1683336447
21,egilsstadir,65.2653,-14.3948,40.91,75,0,5.75,IS,1683336448
22,grytviken,-54.2811,-36.5092,36.72,91,100,12.48,GS,1683336448
23,togur,58.3631,82.8265,51.31,87,79,4.92,RU,1683336449
24,sitka,57.0531,-135.33,49.89,66,75,5.75,US,1683336450
25,iskateley,67.6803,53.1512,22.08,95,94,7.49,RU,1683336450
26,la mira,18.035,-102.3266,83.05,68,86,6.93,MX,1683336451
27,akureyri,65.6835,-18.0878,42.73,93,0,0.0,IS,1683336452
28,klyuchi,52.2667,79.1667,57.94,34,80,5.5,RU,1683336452
29,papatowai,-46.5619,169.4708,62.78,64,1,6.98,NZ,1683336453
30,olonkinbyen,70.9221,-8.7187,32.45,99,100,11.01,SJ,1683336454
31,margaret river,-33.95,115.0667,56.59,62,74,15.68,AU,1683336454
32,praia da vitoria,38.7333,-27.0667,70.05,78,75,7.56,PT,1683336454
33,hithadhoo,-0.6,73.0833,82.98,76,98,20.54,MV,1683336455
34,cururupu,-1.8283,-44.8683,75.78,97,31,3.47,BR,1683336456
35,bubaque,11.2833,-15.8333,79.63,87,87,12.8,GW,1683336456
36,chonchi,-42.6128,-73.8092,52.81,97,59,2.01,CL,1683336457
37,waitangi,-43.9535,-176.5597,61.83,85,100,11.01,NZ,1683336457
38,summerside,46.3959,-63.7876,38.68,93,100,1.14,CA,1683336358
39,puerto ayora,-0.7393,-90.3518,80.55,95,41,5.99,EC,1683336458
40,taro,-8.3862,115.28,77.0,91,76,3.91,ID,1683336459
41,qaqortoq,60.7167,-46.0333,34.65,74,13,1.95,GL,1683336459
42,punta arenas,-53.15,-70.9167,42.91,93,100,5.75,CL,1683336460
43,sivrihisar,39.4504,31.5341,51.98,79,67,9.84,TR,1683336460
44,pisco,-13.7,-76.2167,68.05,83,0,16.11,PE,1683336461
45,saurimo,-9.6608,20.3916,65.19,75,25,2.91,AO,1683336461
46,forster,-32.1667,152.5167,72.37,45,4,1.99,AU,1683336462
47,puerto natales,-51.7236,-72.4875,51.89,92,100,9.57,CL,1683336462
48,kone,-21.0595,164.8658,79.39,72,85,8.84,NC,1683336462
49,edinburgh of the seven seas,-37.0676,-12.3116,60.42,84,100,27.6,SH,1683336463
50,jamestown,42.097,-79.2353,49.64,71,0,6.91,US,1683336166
51,karratha,-20.7377,116.8463,81.01,30,100,12.41,AU,1683336464
52,tuy hoa,13.0833,109.3,88.81,59,100,4.32,VN,1683336464
53,lycksele,64.5954,18.6735,24.67,80,99,0.0,SE,1683336464
54,arraial do cabo,-22.9661,-42.0278,74.64,81,0,8.37,BR,1683336381
55,adamstown,-25.066,-130.1015,73.76,72,100,18.43,PN,1683336465
56,carnarvon,-24.8667,113.6333,76.87,49,34,6.93,AU,1683336466
57,huarmey,-10.0681,-78.1522,73.65,83,11,8.61,PE,1683336466
58,boke,10.9409,-14.2967,77.67,78,91,2.64,GN,1683336467
59,isafjordur,66.0755,-23.124,42.55,99,100,0.94,IS,1683336467
60,srinagar,34.0833,74.8167,53.17,78,100,1.05,IN,1683336467
61,flagstaff,35.1981,-111.6513,54.52,43,40,17.27,US,1683336241
62,ouddorp,51.8117,3.9347,55.38,84,1,6.93,NL,1683336468
63,ilulissat,69.2167,-51.1,28.42,93,100,0.0,GL,1683336469
64,kapuskasing,49.4169,-82.4331,55.4,47,40,5.75,CA,1683336469
65,iqaluit,63.7506,-68.5145,31.73,86,100,25.32,CA,1683336469
66,bathsheba,13.2167,-59.5167,81.21,74,20,11.5,BB,1683336470
67,afaahiti,-17.75,-149.2833,85.87,84,100,19.48,PF,1683336196
68,tanaina,61.6269,-149.4281,52.61,42,20,11.5,US,1683336471
69,bilibino,68.0546,166.4372,25.11,77,98,3.44,RU,1683336471
70,horta,38.5333,-28.6333,63.01,96,100,13.0,PT,1683336413
71,mao,39.8885,4.2658,61.36,94,0,2.3,ES,1683336472
72,aasiaat,68.7098,-52.8699,23.27,91,100,3.15,GL,1683336473
73,malpica,43.3228,-8.8105,61.34,77,100,9.6,ES,1683336473
74,uturoa,-16.7333,-151.4333,82.36,78,93,19.69,PF,1683336474
75,altai,46.3722,96.2583,29.98,94,100,0.76,MN,1683336474
76,ushuaia,-54.8,-68.3,46.06,57,0,16.11,AR,1683336475
77,paramonga,-10.6667,-77.8333,72.32,84,48,7.72,PE,1683336475
78,bredasdorp,-34.5322,20.0403,55.26,91,88,5.39,ZA,1683336475
79,port lincoln,-34.7333,135.8667,55.26,57,92,14.47,AU,1683336476
80,west island,-12.1568,96.8225,80.58,89,100,10.36,CC,1683336476
81,babayevo,59.3936,35.9371,24.96,91,79,6.67,RU,1683336477
82,seaside,36.6111,-121.8516,59.72,79,75,11.5,US,1683336477
83,cidreira,-30.1811,-50.2056,68.22,96,100,8.55,BR,1683336418
84,boali,4.8005,18.1275,73.72,76,81,1.54,CF,1683336478
85,albany,42.6001,-73.9662,54.01,70,44,4.09,US,1683336478
86,san luis de la loma,17.2706,-100.8939,85.03,66,100,5.17,MX,1683336479
87,vila franca do campo,37.7167,-25.4333,63.01,95,100,10.27,PT,1683336479
88,pacific grove,36.6177,-121.9166,58.39,79,75,11.5,US,1683336207
89,dudinka,69.4058,86.1778,11.62,89,97,9.1,RU,1683336480
90,hailar,49.2,119.7,53.35,19,100,5.59,CN,1683336481
91,prince rupert,54.3161,-130.3201,46.49,92,100,2.3,CA,1683336455
92,port mathurin,-19.6833,63.4167,79.03,76,12,16.93,MU,1683336482
93,colby,39.3958,-101.0524,77.05,51,0,20.0,US,1683336483
94,valle de la pascua,9.2155,-66.0073,82.65,49,100,9.48,VE,1683336484
95,santiago de cao,-7.9589,-79.2392,73.53,78,40,5.75,PE,1683336484
96,okha,53.5739,142.9478,36.37,61,91,4.18,RU,1683336485
97,weno,7.4515,151.8468,87.75,74,100,9.22,FM,1683336486
98,floro,61.5996,5.0328,44.56,53,40,11.5,NO,1683336486
99,sandnessjoen,66.0217,12.6316,27.12,57,73,7.07,NO,1683336487
100,saipan,15.1355,145.701,88.5,100,40,20.71,MP,1683336487
101,hawaiian paradise park,19.5933,-154.9731,78.31,77,100,14.97,US,1683336488
102,shahrud,36.4182,54.9763,50.54,45,0,4.14,IR,1683336489
103,smithers,54.7804,-127.1743,68.32,42,40,17.27,CA,1683336489
104,serhiyivka,46.0272,30.3768,57.65,77,100,15.84,UA,1683336490
105,gadzhiyevo,69.2551,33.3362,27.28,93,100,7.85,RU,1683336490
106,longyearbyen,78.2186,15.6401,28.24,80,75,19.57,SJ,1683336491
107,port alfred,-33.5906,26.891,59.18,95,5,10.6,ZA,1683336491
108,holualoa,19.6228,-155.9522,78.64,72,75,14.97,US,1683336492
109,payakumbuh,-0.2202,100.6308,73.04,98,100,2.57,ID,1683336493
110,hermanus,-34.4187,19.2345,58.84,87,100,4.14,ZA,1683336493
111,whitehorse,60.7161,-135.0538,47.17,43,100,8.05,CA,1683336494
112,san rafael,-34.6177,-68.3301,55.54,65,100,1.14,AR,1683336495
113,colotlan,22.1,-103.2667,82.36,15,70,18.19,MX,1683336495
114,tsiombe,-25.3,45.4833,67.59,83,72,2.28,MG,1683336496
115,keflavik,64.0049,-22.5624,45.03,81,75,16.11,IS,1683336496
116,winnemucca,40.973,-117.7357,48.25,71,75,6.91,US,1683336497
117,pandan,14.0453,124.1694,83.98,74,40,8.34,PH,1683336497
118,rio preto da eva,-2.6994,-59.6997,74.08,98,34,2.66,BR,1683336498
119,minas de marcona,-15.2119,-75.1103,59.61,87,72,12.97,PE,1683336498
120,san patricio,28.017,-97.5169,82.17,81,100,14.09,US,1683336499
121,axim,4.8699,-2.2405,81.23,81,9,7.87,GH,1683336499
122,gaitania,3.0906,-75.6723,68.2,92,87,5.17,CO,1683336500
123,deqen,29.9618,90.7188,42.49,49,73,2.84,CN,1683336500
124,bontang,0.1333,117.5,81.45,83,100,5.01,ID,1683336501
125,shimoda,34.6667,138.95,77.11,73,60,21.21,JP,1683336501
126,mabaruma,8.2,-59.7833,75.72,84,96,4.5,GY,1683336502
127,rio grande,-32.035,-52.0986,67.5,97,100,9.55,BR,1683336502
128,biltine,14.5333,20.9167,84.33,10,18,5.48,TD,1683336507
129,georgetown,5.4112,100.3354,84.13,83,20,3.44,MY,1683336411
130,uliastay,47.7417,96.8444,39.96,48,100,2.82,MN,1683336508
131,peace river,56.2501,-117.286,75.51,18,75,16.11,CA,1683336508
132,geneina,13.45,22.45,79.79,12,69,6.8,SD,1683336509
133,fortuna,40.5982,-124.1573,54.66,88,100,5.01,US,1683336510
134,polyarnyy,69.1989,33.4478,28.53,92,100,7.2,RU,1683336510
135,kayangel,8.0823,134.7173,82.94,76,45,9.26,PW,1683336259
136,ha'il,27.5219,41.6907,68.02,30,0,0.0,SA,1683336512
137,nalut,30.3333,10.85,67.37,30,46,9.95,LY,1683336512
138,utete,-7.986,38.758,70.27,93,0,2.17,TZ,1683336513
139,lubartow,51.4603,22.6095,45.09,76,91,11.01,PL,1683336514
140,tshela,-4.9833,12.9333,73.04,99,100,0.49,CD,1683336514
141,tanumah,27.1,44.1333,75.52,18,2,9.42,SA,1683336515
142,howard springs,-12.497,131.047,86.83,81,100,9.69,AU,1683336515
143,new norfolk,-42.7826,147.0587,51.93,66,7,3.0,AU,1683336515
144,cabo san lucas,22.8909,-109.9124,84.51,30,40,3.44,MX,1683336469
145,avarua,-21.2078,-159.775,82.45,83,75,14.97,CK,1683336516
146,wewak,-3.5534,143.6268,84.47,74,99,5.23,PG,1683336517
147,amasra,41.7463,32.3863,53.94,91,100,7.74,TR,1683336517
148,luderitz,-26.6481,15.1594,55.36,80,7,8.34,NA,1683336518
149,antofagasta,-23.65,-70.4,56.48,78,2,1.86,CL,1683336518
150,muroto-misakicho,33.2833,134.15,68.56,85,100,15.21,JP,1683336519
151,saint-francois,46.4154,3.9054,49.44,100,100,1.14,FR,1683336519
152,pokrovsk,48.282,37.1758,49.8,94,73,9.71,UA,1683336520
153,fushun,41.8558,123.9233,62.31,24,96,19.84,CN,1683336520
154,charters towers,-20.1,146.2667,77.13,48,99,11.65,AU,1683336435
155,havre,49.5833,0.3333,55.17,88,0,6.91,FR,1683336521
156,stanley,54.868,-1.6985,48.79,94,47,0.0,GB,1683336521
157,honiara,-9.4333,159.95,84.99,75,100,4.9,SB,1683336522
158,mitchell,43.7094,-98.0298,71.58,49,20,8.05,US,1683336522
159,nikolayevsk-on-amure,53.1406,140.73,46.24,59,26,4.0,RU,1683336523
160,el reno,35.5323,-97.955,82.13,53,0,10.36,US,1683336523
161,rada tilly,-45.9333,-67.5333,66.69,42,0,11.5,AR,1683336524
162,aripuana,-9.1667,-60.6333,74.23,98,100,2.26,BR,1683336370
163,ostersund,63.1792,14.6357,34.25,40,99,8.05,SE,1683336525
164,qarshi,38.8667,65.8,51.62,93,20,6.91,UZ,1683336525
165,mejit,10.2753,170.8646,81.27,79,65,16.87,MH,1683336526
166,letlhakane,-21.4167,25.5833,64.27,38,0,4.34,BW,1683336530
167,ghat,24.9647,10.1728,72.99,18,6,2.24,LY,1683336530
168,ebaye,8.7748,167.7392,86.02,74,0,11.5,MH,1683336531
169,pangoa,-12.1167,-73.0,68.22,99,95,1.7,PE,1683336531
170,bonthe,7.5264,-12.505,73.4,91,100,8.34,SL,1683336532
171,katrineholm,58.9959,16.2072,31.73,82,5,3.67,SE,1683336532
172,solok,-0.7918,100.6593,76.15,99,100,2.75,ID,1683336533
173,ola,59.5833,151.2833,41.14,78,95,1.9,RU,1683336533
174,bridgeport,41.167,-73.2048,54.91,79,20,5.01,US,1683336510
175,badger,64.8,-147.5333,53.85,28,75,0.0,US,1683336534
176,broken hill,-31.95,141.4333,54.25,77,98,14.12,AU,1683336470
177,wenchang,30.904,118.4887,65.41,92,100,7.52,CN,1683336535
178,mana,5.6592,-53.7767,77.45,89,100,9.26,GF,1683336535
179,shiyan,32.6475,110.7781,58.57,80,100,9.75,CN,1683336536
180,palmer,42.1584,-72.3287,54.01,73,50,2.21,US,1683336536
181,damghan,36.1683,54.348,54.5,31,0,2.66,IR,1683336537
182,lata,40.1629,-8.3327,56.07,97,100,1.05,PT,1683336537
183,ambovombe,-25.1667,46.0833,68.4,80,88,2.1,MG,1683336538
184,meizhou,24.2977,116.1072,84.61,63,3,3.65,CN,1683336538
185,tolanaro,-25.0319,46.9987,73.47,88,20,4.61,MG,1683336539
186,kidal,18.4411,1.4078,89.38,14,0,6.17,ML,1683336539
187,east london,-33.0153,27.9116,65.8,81,0,11.79,ZA,1683336541
188,tsetserleg,47.475,101.4542,35.85,61,100,2.66,MN,1683336541
189,nova sintra,14.8667,-24.7167,69.39,79,3,27.18,CV,1683336542
190,sao jose da coroa grande,-8.8978,-35.1478,77.67,82,3,7.74,BR,1683336543
191,grand falls-windsor,48.9332,-55.6649,35.51,80,100,4.0,CA,1683336543
192,st. john's,47.5649,-52.7093,32.79,94,100,17.27,CA,1683336375
193,ca mau,9.1769,105.15,87.93,63,100,6.22,VN,1683336547
194,hamilton,39.1834,-84.5333,65.25,57,0,9.22,US,1683336549
195,tralee,52.2704,-9.7026,49.82,95,99,4.23,IE,1683336549
196,juneau,58.3019,-134.4197,49.21,76,100,6.91,US,1683336551
197,atafu village,-8.5421,-172.5159,84.63,74,97,14.41,TK,1683336552
198,saint-jean-de-maurienne,45.1667,6.5833,38.25,86,85,2.3,FR,1683336553
199,priozersk,61.0393,30.1291,32.09,83,25,5.79,RU,1683336554
200,buckhannon,38.994,-80.232,56.28,61,0,0.0,US,1683336555
201,nabire,-3.3667,135.4833,82.98,79,100,5.3,ID,1683336556
202,nigde,37.8333,34.75,48.92,67,35,19.26,TR,1683336557
203,lebu,-37.6167,-73.65,53.19,92,11,11.25,CL,1683336557
204,ta`u,-14.2336,-169.5144,80.1,81,93,16.82,AS,1683336558
205,bouake,7.6895,-5.0218,74.84,82,66,5.3,CI,1683336559
206,aoulef,26.9667,1.0833,86.61,12,5,13.53,DZ,1683336560
207,lihue,21.9789,-159.3672,81.64,68,100,17.27,US,1683336280
208,kruisfontein,-34.0033,24.7314,53.89,80,1,6.76,ZA,1683336562
209,lospalos,-8.5186,127.0025,79.02,77,90,10.76,TL,1683336563
210,poyang,28.9924,116.6675,69.51,90,100,10.58,CN,1683336563
211,khemisset,33.6667,-6.25,57.7,93,29,1.16,MA,1683336564
212,bamboo flat,11.7,92.7167,83.75,74,100,4.5,IN,1683336565
213,aswan,24.0934,32.907,79.9,18,0,6.91,EG,1683336566
214,hammerfest,70.6634,23.6821,36.05,87,100,14.97,NO,1683336567
215,kavaratti,10.5669,72.642,83.59,68,76,7.31,IN,1683336567
216,pingliang,35.5392,106.6861,56.97,60,75,12.24,CN,1683336568
217,vernon,50.2581,-119.2691,64.29,75,100,2.3,CA,1683336569
218,talnakh,69.4865,88.3972,11.21,91,100,12.8,RU,1683336569
219,aykhal,66.0,111.5,32.54,100,100,11.54,RU,1683336570
220,barbacoas,1.6715,-78.1398,78.17,92,100,1.61,CO,1683336570
221,bandrele,-12.9067,45.1914,74.95,94,0,6.91,YT,1683336571
222,senanga,-16.1167,23.2667,58.51,55,6,4.27,ZM,1683336572
223,katoomba,-33.7198,150.3074,57.07,31,70,2.59,AU,1683336289
224,igarka,67.4667,86.5833,28.29,93,100,11.86,RU,1683336573
225,labytnangi,66.6572,66.4183,24.31,85,5,7.87,RU,1683336575
226,brookings,44.3114,-96.7984,68.18,64,0,11.5,US,1683336339
227,codrington,-38.2667,141.9667,52.07,61,98,11.59,AU,1683336576
228,el granada,37.5027,-122.4694,60.24,83,100,11.5,US,1683336577
229,fuglafjordur,62.244,-6.814,45.07,96,100,24.27,FO,1683336577
230,marau,-28.4492,-52.2,64.15,99,100,2.91,BR,1683336578
231,vilyuchinsk,52.9306,158.4028,44.87,92,100,3.69,RU,1683336579
232,ketchikan,55.3422,-131.6461,50.47,81,100,4.61,US,1683336579
233,helena valley southeast,46.6153,-111.9216,61.2,63,0,9.22,US,1683336580
